INSTNM,CITY,STABBR,ZIP,INSTURL,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG_ALL
Western Michigan University,Kalamazoo,MI,49008-5200,https://wmich.edu/,42.282589,-85.61512,0.8238,1030
Western Theological Seminary,Holland,MI,49423-3622,www.westernsem.edu,42.786227,-86.101897,NULL,NULL
Wright Beauty Academy,Battle Creek,MI,49015,wba.edu,42.308156,-85.196585,NULL,NULL
Academy College,Bloomington,MN,55431-1411,www.academycollege.edu,44.85621,-93.299681,NULL,NULL
Alexandria Technical & Community College,Alexandria,MN,56308,www.alextech.edu,45.868592,-95.371579,NULL,NULL
American Indian OIC Inc,Minneapolis,MN,55404-2221,www.aioic.org,44.961993,-93.246166,NULL,NULL
Anoka Technical College,Anoka,MN,55303,www.anokatech.edu,45.216331,-93.415955,NULL,NULL
Anoka-Ramsey Community College,Coon Rapids,MN,55433-3470,www.anokaramsey.edu,45.172978,-93.351697,NULL,NULL
Augsburg College,Minneapolis,MN,55454,www.augsburg.edu,44.965636,-93.241418,0.5918,1032
Riverland Community College,Austin,MN,55912-1473,www.riverland.edu,43.676778,-93.001055,NULL,NULL
Northwest Technical College,Bemidji,MN,56601-4907,www.ntcmn.edu,47.452652,-94.853985,NULL,NULL
Bemidji State University,Bemidji,MN,56601,www.bemidjistate.edu,47.482505,-94.874529,0.938,1010
Bethany Lutheran College,Mankato,MN,56001,www.blc.edu,44.166485,-93.990744,0.853,1074
Bethel University,Saint Paul,MN,55112,https://www.bethel.edu,45.057091,-93.159295,0.9491,1127
Bethel Seminary-St Paul,Saint Paul,MN,55112,https://www.bethel.edu,45.058775,-93.159786,NULL,1127
Central Lakes College-Brainerd,Brainerd,MN,56401-3900,WWW.CLCMN.EDU,46.346006,-94.21524,NULL,NULL
Carleton College,Northfield,MN,55057-4001,www.carleton.edu,44.462304,-93.154662,0.2065,1400
Concordia College at Moorhead,Moorhead,MN,56562,https://www.concordiacollege.edu,46.859423,-96.765567,0.7818,NULL
Concordia University-Saint Paul,Saint Paul,MN,55104-5494,www.csp.edu,44.9502,-93.154971,0.5543,NULL
Dakota County Technical College,Rosemount,MN,55068-2999,www.dctc.edu/,44.738929,-93.079346,NULL,NULL
Martin Luther College,New Ulm,MN,56073-3965,www.mlc-wels.edu,44.3046,-94.473422,0.7786,1145
Lake Superior College,Duluth,MN,55811-3399,www.lsc.edu,46.784671,-92.145255,NULL,NULL
Cosmetology Careers Unlimited College of Hair Skin and Nails,Duluth,MN,55802,www.ccucollege.net,46.785732,-92.099721,NULL,NULL
Duluth Business University,Duluth,MN,55807,www.dbumn.edu,46.742888,-92.157379,NULL,NULL
Minnesota State Community and Technical College,Fergus Falls,MN,56537-1000,www.minnesota.edu,46.288102,-96.096961,NULL,NULL
Globe University-Woodbury,Woodbury,MN,55125-3388,www.globeuniversity.edu/,44.946656,-92.941145,NULL,NULL
Minnesota West Community and Technical College,Granite Falls,MN,56241,www.mnwest.edu,44.80755,-95.561709,NULL,NULL
Gustavus Adolphus College,Saint Peter,MN,56082-1498,WWW.GUSTAVUS.EDU,44.324968,-93.971928,0.6706,NULL
Hamline University,Saint Paul,MN,55104-1284,www.hamline.edu,44.965696,-93.163983,0.7239,1127
Hazelden Betty Ford Graduate School of Addiction Studies,Center City,MN,55012-0011,www.hazeldenbettyford.edu,45.377896,-92.796687,NULL,NULL
Hennepin Technical College,Brooklyn Park,MN,55445,www.hennepintech.edu,45.096534,-93.397755,NULL,NULL
Cosmetology Careers Unlimited College of Hair Skin and Nails,Hibbing,MN,55746,www.ccucollege.net,47.41989,-92.923517,NULL,NULL
Hibbing Community College,Hibbing,MN,55746,www.hibbing.edu,47.422275,-92.921052,NULL,NULL
Aveda Institute-Minneapolis,Minneapolis,MN,55414,aveda.edu/minneapolis,44.987863,-93.253702,NULL,NULL
Inver Hills Community College,Inver Grove Heights,MN,55076-3224,www.inverhills.edu,44.828384,-93.054585,NULL,NULL
Itasca Community College,Grand Rapids,MN,55744-3397,www.itascacc.edu/,47.242469,-93.494483,NULL,NULL
The Art Institutes International-Minnesota,Minneapolis,MN,55402,www.aim.artinstitutes.edu,44.976003,-93.276322,NULL,NULL
Luther Seminary,Saint Paul,MN,55108-1496,https://www.luthersem.edu,44.984815,-93.196754,NULL,NULL
Macalester College,Saint Paul,MN,55105-1899,www.macalester.edu,44.936709,-93.169855,0.3902,1358
South Central College,North Mankato,MN,56003-1920,www.southcentral.edu,44.174326,-94.04741,NULL,NULL
Minnesota State University-Mankato,Mankato,MN,56001,www.mnsu.edu,44.147253,-93.998494,0.6663,1030
Regency Beauty Institute-Blaine,Blaine,MN,55434,www.regency.edu,45.132464,-93.266236,NULL,NULL
Mayo Clinic School of Medicine,Rochester,MN,55905,www.mayo.edu/mms/,44.020808,-92.466417,NULL,NULL
Mayo Clinic School of Health Sciences,Rochester,MN,55905,www.mayo.edu/mshs/,44.022784,-92.466645,NULL,NULL
Argosy University-Twin Cities,Eagan,MN,55121,www.argosy.edu/twincities/,44.837284,-93.173871,NULL,NULL
Mesabi Range College,Virginia,MN,55792,www.mesabirange.edu,47.524554,-92.549088,NULL,NULL
Metropolitan State University,Saint Paul,MN,55106-5000,www.metrostate.edu,44.957017,-93.074153,1,NULL
University of Minnesota-Twin Cities,Minneapolis,MN,55455-0213,twin-cities.umn.edu/,44.977886,-93.235352,0.4458,1285
University of Minnesota-Crookston,Crookston,MN,56716-5001,https://www.crk.umn.edu/,47.802021,-96.609863,0.7676,1026
Minneapolis Business College,Roseville,MN,55113-0000,minneapolisbusinesscollege.edu,45.005272,-93.173351,NULL,NULL
Minneapolis College of Art and Design,Minneapolis,MN,55404,MCAD.EDU,44.956988,-93.274694,0.6601,1096
Minneapolis Community and Technical College,Minneapolis,MN,55403-1779,www.minneapolis.edu,44.972672,-93.284489,NULL,NULL
Herzing University-Minneapolis,Minneapolis,MN,55428-3548,www.herzing.edu,45.056273,-93.366498,0.9268,NULL
Minnesota School of Cosmetology-Woodbury Campus,WOODBURY,MN,55125,www.msccollege.edu,44.92512,-92.973902,NULL,NULL
Crossroads College,Rochester,MN,55902-2382,www.crossroadscollege.edu,43.997064,-92.476297,0.7941,NULL
University of Minnesota-Duluth,Duluth,MN,55812,www.d.umn.edu/,46.818896,-92.085177,0.7596,1109
University of Minnesota-Morris,Morris,MN,56267,www.morris.umn.edu/,45.589829,-95.901756,0.598,1146
Minnesota School of Business-Richfield,Richfield,MN,55423,www.msbcollege.edu/,44.865436,-93.297366,NULL,NULL
Model College of Hair Design,Saint Cloud,MN,56301-4332,www.modelcollegeofhairdesign.com,45.558469,-94.159214,NULL,NULL
Minnesota State University Moorhead,Moorhead,MN,56563,www.mnstate.edu/,46.866482,-96.763376,0.773,1049
North Hennepin Community College,Brooklyn Park,MN,55445,www.nhcc.edu,45.107408,-93.373662,NULL,NULL
National American University-Roseville,Roseville,MN,55113-4035,www.national.edu/locations/campuses/roseville/,45.009683,-93.170514,NULL,NULL
Sanford-Brown College-Mendota Heights,Mendota Heights,MN,55120,sanfordbrown.edu/mendota-heights,44.86523,-93.163291,NULL,NULL
Normandale Community College,Bloomington,MN,55431-4399,www.normandale.edu,44.829706,-93.331677,NULL,NULL
North Central University,Minneapolis,MN,55404-1391,www.northcentral.edu,44.969389,-93.261429,0.535,1024
Northland Community and Technical College,Thief River Falls,MN,56701,www.northlandcollege.edu,48.124955,-96.162362,NULL,NULL
University of Northwestern-St Paul,Saint Paul,MN,55113-1598,https://www.unwsp.edu,45.032969,-93.171579,0.8677,1102
Northwestern Health Sciences University,Bloomington,MN,55431,www.nwhealth.edu,44.85097,-93.311218,NULL,NULL
Oak Hills Christian College,Bemidji,MN,56601-8834,www.oakhills.edu,47.425836,-94.901701,0.291,930
Regency Beauty Institute-Burnsville,Burnsville,MN,55306,www.regency.edu,44.744157,-93.28904,NULL,NULL
Pine Technical & Community College,Pine City,MN,55063,www.pine.edu,45.808775,-92.968456,NULL,NULL
Rainy River Community College,International Falls,MN,56649,www.rainyriver.edu,48.594255,-93.426666,NULL,NULL
Rochester Community and Technical College,Rochester,MN,55904-4999,www.rctc.edu/,44.016177,-92.423528,NULL,NULL
College of Saint Benedict,Saint Joseph,MN,56374,www.csbsju.edu,45.558609,-94.31902,0.7414,1118
St Cloud Technical and Community College,Saint Cloud,MN,56303-1240,www.sctcc.edu,45.580341,-94.176938,NULL,NULL
Regency Beauty Institute-St Cloud,Waite Park,MN,56387,www.regency.edu,45.548631,-94.216276,NULL,NULL
Saint Cloud State University,Saint Cloud,MN,56301-4498,www.stcloudstate.edu,45.552418,-94.153,0.862,1030
Saint Johns University,Collegeville,MN,56321,www.csbsju.edu,45.580538,-94.39268,0.7408,1148
Saint Mary's University of Minnesota,Winona,MN,55987-1399,www.smumn.edu,44.045322,-91.696652,0.7761,1046
St Olaf College,Northfield,MN,55057-1098,wp.stolaf.edu,44.462884,-93.183633,0.3597,1282
Crown College,Saint Bonifacius,MN,55375-9001,www.crown.edu,44.885372,-93.743015,0.5295,1019
The College of Saint Scholastica,Duluth,MN,55811-4199,www.css.edu,46.81544,-92.105738,0.6147,1067
University of St Thomas,Saint Paul,MN,55105-1078,www.stthomas.edu,44.941662,-93.189422,0.8396,1202
Empire Beauty School-Bloomington,Bloomington,MN,55420-4232,www.empire.edu,44.82746,-93.287367,NULL,NULL
St Catherine University,Saint Paul,MN,55105,https://www.stkate.edu,44.924542,-93.181925,0.6739,1032
Rasmussen College-Minnesota,St. Cloud,MN,56301-3713,rasmussen.edu,45.556553,-94.209068,NULL,NULL
Saint Paul College,Saint Paul,MN,55102-9808,www.saintpaul.edu,44.9492,-93.109664,NULL,NULL
Southwest Minnesota State University,Marshall,MN,56258-5468,www.smsu.edu,44.455023,-95.75983,0.6403,1008
Summit Academy Opportunities Industrialization Center,Minneapolis,MN,55405,WWW.SAOIC.ORG,44.983265,-93.295151,NULL,NULL
United Theological Seminary of the Twin Cities,New Brighton,MN,55112-2598,www.unitedseminary.edu,45.057139,-93.224977,NULL,NULL
Vermilion Community College,Ely,MN,55731,www.vcc.edu/,47.905213,-91.837938,NULL,NULL
Dunwoody College of Technology,Minneapolis,MN,55403-1192,www.dunwoody.edu,44.973081,-93.290069,0.7529,NULL
Ridgewater College,Willmar,MN,56201,www.ridgewater.edu,45.13832,-95.073054,NULL,NULL
Minnesota State College Southeast,Winona,MN,55987,www.southeastmn.edu,44.024554,-91.618314,NULL,NULL
Winona State University,Winona,MN,55987-5838,www.winona.edu,44.04585,-91.644838,0.6246,1050
Mitchell Hamline School of Law,Saint Paul,MN,55105-3076,www.mitchellhamline.edu,44.942092,-93.137709,NULL,NULL
Century College,White Bear Lake,MN,55110,https://www.century.edu,45.041816,-92.982109,NULL,NULL
Alcorn State University,Alcorn State,MS,39096-7500,www.alcorn.edu,31.877216,-91.142854,0.8056,871
Belhaven University,Jackson,MS,39202,www.belhaven.edu,32.318415,-90.169228,0.508,NULL
Blue Mountain College,Blue Mountain,MS,38610-9509,www.bmc.edu,34.67209,-89.02924,0.9921,990
Chris Beauty College,Gulfport,MS,39501,www.chrisbeautycollege.edu,30.383561,-89.077063,NULL,NULL
Coahoma Community College,Clarksdale,MS,38614,www.coahomacc.edu/,34.255626,-90.570304,NULL,NULL
Antonelli College-Jackson,Jackson,MS,39232,www.antonellicollege.edu,32.328918,-90.12297,NULL,NULL
Copiah-Lincoln Community College,Wesson,MS,39191,www.colin.edu,31.69006,-90.399133,NULL,NULL
Delta Beauty College,Greenville,MS,38701,deltabeautyschool.com,33.37377,-91.04523,NULL,NULL
Delta State University,Cleveland,MS,38733,www.deltastate.edu,33.747586,-90.73544,0.8698,970
East Central Community College,Decatur,MS,39327-0129,www.eccc.edu,32.444493,-89.108475,NULL,NULL
East Mississippi Community College,Scooba,MS,39358-0158,www.eastms.edu/,32.830246,-88.483516,NULL,NULL
Fosters Cosmetology College,Ripley,MS,38663-0066,www.fosters.edu,34.759421,-88.939805,NULL,NULL
Academy of Hair Design-Grenada,Grenada,MS,38901,www.academyofhair.com/grenada-campus,33.775555,-89.823781,NULL,NULL
Hinds Community College,Raymond,MS,39154,www.hindscc.edu,32.258205,-90.412527,NULL,NULL
Holmes Community College,Goodman,MS,39079,www.holmescc.edu,32.969985,-89.915803,NULL,NULL
Itawamba Community College,Fulton,MS,38843-1099,www.iccms.edu,34.276275,-88.412927,NULL,NULL
Jackson State University,Jackson,MS,39217,www.jsums.edu,32.296781,-90.20663,0.6752,910
Jones County Junior College,Ellisville,MS,39437,www.jcjc.edu,31.597162,-89.199694,NULL,NULL
Meridian Community College,Meridian,MS,39307-5801,www.meridiancc.edu,32.368097,-88.733604,NULL,NULL
Millsaps College,Jackson,MS,39210-0001,www.millsaps.edu,32.3231,-90.178084,0.5264,1163
Mississippi Delta Community College,Moorhead,MS,38761,www.msdelta.edu/,33.444906,-90.502053,NULL,NULL
University of Mississippi,University,MS,38677-1848,www.olemiss.edu,34.362144,-89.539377,0.7873,1118
Mississippi University for Women,Columbus,MS,39701,www.muw.edu,33.493305,-88.418601,0.9613,1012
Mississippi Valley State University,Itta Bena,MS,38941-1400,www.mvsu.edu,33.514142,-90.341274,0.7567,850
Mississippi College,Clinton,MS,39058,www.mc.edu,32.334565,-90.330452,0.8248,1106
Mississippi College of Beauty Culture,Laurel,MS,39440,hatfieldsinc.com,31.693843,-89.134632,NULL,NULL
Mississippi Gulf Coast Community College,Perkinston,MS,39573,https://www.mgccc.edu,30.779349,-89.144339,NULL,NULL
Mississippi State University,Mississippi State,MS,39762,www.msstate.edu,33.454809,-88.788979,0.6524,1140
Northeast Mississippi Community College,Booneville,MS,38829,www.nemcc.edu,34.667833,-88.562983,NULL,NULL
Northwest Mississippi Community College,Senatobia,MS,38668-1714,www.northwestms.edu,34.622721,-89.971428,NULL,NULL
Pearl River Community College,Poplarville,MS,39470,www.prcc.edu,30.846809,-89.546,NULL,NULL
Rust College,Holly Springs,MS,38635,www.rustcollege.edu,34.776862,-89.446999,0.4149,780
Southeastern Baptist College,Laurel,MS,39440-9989,www.southeasternbaptist.edu,31.748512,-89.149373,NULL,NULL
Southwest Mississippi Community College,Summit,MS,39666-0000,www.smcc.edu,31.29622,-90.442844,NULL,NULL
University of Southern Mississippi,Hattiesburg,MS,39406-0001,www.usm.edu,31.327499,-89.33791,0.5804,1049
Magnolia College of Cosmetology,Jackson,MS,39206,www.mcocjackson.com,32.359614,-90.151826,NULL,NULL
Tougaloo College,Tougaloo,MS,39174,www.tougaloo.edu,32.402719,-90.159405,0.3912,844
Wesley Biblical Seminary,Jackson,MS,39206,www.wbs.edu,32.355011,-90.159447,NULL,NULL
William Carey University,Hattiesburg,MS,39401-5499,www.wmcarey.edu,31.305264,-89.291815,0.5689,1071
Aquinas Institute of Theology,Saint Louis,MO,63108-3323,www.ai.edu,38.635008,-90.237365,NULL,NULL
Assemblies of God Theological Seminary,Springfield,MO,65802-2131,www.agts.edu,37.224401,-93.26151,NULL,1064
Avila University,Kansas City,MO,64145-1698,https://www.Avila.edu,38.912159,-94.591387,0.5089,986
ITT Technical Institute-Earth City,Earth City,MO,63045,www.itt-tech.edu,38.757955,-90.461159,0.5852,NULL
Baptist Bible College,Springfield,MO,65803-3498,www.gobbc.edu,37.239731,-93.285385,NULL,NULL
House of Heavilin Beauty College-Blue Springs,Blue Springs,MO,64014,kc-hair.com,38.999893,-94.273804,NULL,NULL
Cox College,Springfield,MO,65802,www.coxcollege.edu,37.225116,-93.290233,0.5938,NULL
Calvary University,Kansas City,MO,64147-1341,www.calvary.edu,38.838169,-94.546238,0.9423,1010
Cape Girardeau Career and Technology Center,Cape Girardeau,MO,63703-7511,www.capectc.org,37.274138,-89.56525,NULL,NULL
Central Christian College of the Bible,Moberly,MO,65270-1997,www.cccb.edu,39.395963,-92.427259,0.3491,985
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,65248-1198,www.centralmethodist.edu/,39.150534,-92.685276,0.5786,1043
University of Central Missouri,Warrensburg,MO,64093,www.ucmo.edu,38.755882,-93.737445,0.7945,1010
Grand River Technical School,Chillicothe,MO,64601,www.grts.org,39.798864,-93.559669,0.7593,NULL
Chillicothe Beauty Academy Inc,Chillicothe,MO,64601,www.chillicothebeautyacademy.com/,39.792786,-93.551131,NULL,NULL
Cleveland University-Kansas City,Overland Park,KS,66210,www.cleveland.edu,38.932019,-94.679076,0.75,910
Columbia Area Career Center,Columbia,MO,65203-7199,career-center.org/pce,38.903705,-92.33669,0.6129,NULL
Columbia College,Columbia,MO,65216,www.ccis.edu,38.957899,-92.326544,NULL,NULL
Conception Seminary College,Conception,MO,64433-0502,www.conception.edu,40.24044,-94.682831,1,1145
Concordia Seminary,Saint Louis,MO,63105-3196,www.csl.edu,38.63816,-90.312041,NULL,NULL
Cottey College,Nevada,MO,64772,www.cottey.edu,37.836127,-94.371311,0.7354,1049
Covenant Theological Seminary,Saint Louis,MO,63141-8609,www.covenantseminary.edu,38.643066,-90.451323,NULL,NULL
Crowder College,Neosho,MO,64850,www.crowder.edu,36.811709,-94.363218,NULL,NULL
Culver-Stockton College,Canton,MO,63435-1299,www.culver.edu,40.130064,-91.526682,0.5589,968
Drury University,Springfield,MO,65802-3791,www.drury.edu,37.219757,-93.285773,0.842,1185
East Central College,Union,MO,63084,www.eastcentral.edu,38.430296,-90.975535,NULL,NULL
Eden Theological Seminary,Webster Groves,MO,63119-3192,www.eden.edu,38.592307,-90.345605,NULL,NULL
Elaine Steven Beauty College,Saint Louis,MO,63136-5618,www.elainestevenbeautycollege.com,38.761399,-90.278574,NULL,NULL
Pinnacle Career Institute-South Kansas City,Kansas City,MO,64137-1659,PCITRAINING.EDU,38.942064,-94.579691,NULL,NULL
Evangel University,Springfield,MO,65802-2125,www.evangel.edu,37.220956,-93.262614,0.6146,1064
Fontbonne University,Saint Louis,MO,63105-3098,https://www.fontbonne.edu,38.642697,-90.315712,0.9676,1050
Four Rivers Career Center,Washington,MO,63090-4235,frcc-sdow-mo.schoolloop.com/,38.547707,-91.020914,NULL,NULL
Ozarks Technical Community College,Springfield,MO,65802,www.otc.edu,37.216479,-93.279985,NULL,NULL
Hannibal-LaGrange University,Hannibal,MO,63401,www.hlg.edu,39.730785,-91.391423,0.5873,NULL
Harris-Stowe State University,Saint Louis,MO,63103-2136,www.hssu.edu,38.631744,-90.224288,NULL,NULL
Hickey College,Saint Louis,MO,63114,www.hickeycollege.edu,38.709193,-90.408635,NULL,NULL
House of Heavilin Beauty College-Kansas City,Kansas City,MO,64110-2826,kc-hair.com,39.023092,-94.574045,NULL,NULL
Independence College of Cosmetology,Independence,MO,64055,www.hair-skin-nails.com,39.079522,-94.425816,NULL,NULL
Jefferson College,Hillsboro,MO,63050-2440,www.jeffco.edu,38.259889,-90.558954,NULL,NULL
Paul Mitchell the School-Missouri Columbia,Columbia,MO,65202,missouricolumbia.paulmitchell.edu/,38.969222,-92.310417,NULL,NULL
Barnes-Jewish College Goldfarb School of Nursing,Saint Louis,MO,63110,www.barnesjewishcollege.edu,38.636881,-90.260648,NULL,NULL
Kansas City Art Institute,Kansas City,MO,64111-1874,www.kcai.edu,39.046353,-94.583594,0.5802,1073
Kenrick Glennon Seminary,Saint Louis,MO,63119-4399,www.kenrick.edu,38.584608,-90.324024,0.875,NULL
A T Still University of Health Sciences,Kirksville,MO,63501,WWW.ATSU.EDU,40.193648,-92.589183,NULL,NULL
Lake Career and Technical Center,Camdenton,MO,65020,camdentonschools.schoolwires.net/lctc,38.006275,-92.733697,NULL,NULL
Lex La-Ray Technical Center,Lexington,MO,64067-1525,www.lexlaray.com,39.174204,-93.86742,0.9286,NULL
Lincoln University,Jefferson City,MO,65101,www.lincolnu.edu/,38.564409,-92.168509,NULL,NULL
Lindenwood University,Saint Charles,MO,63301-1695,www.lindenwood.edu,38.788203,-90.502825,0.5539,1043
State Technical College of Missouri,Linn,MO,65051-9607,https://www.statetechmo.edu,38.468301,-91.811298,NULL,NULL
Logan University,Chesterfield,MO,63017,www.logan.edu,38.63133,-90.542333,NULL,NULL
Metropolitan Community College-Kansas City,Kansas City,MO,64111-2429,www.mcckc.edu,39.06855,-94.591181,NULL,NULL
Maryville University of Saint Louis,Saint Louis,MO,63141-7299,www.maryville.edu,38.645474,-90.505096,0.7227,1145
Merrell University of Beauty Arts and Science,Jefferson City,MO,65109,merrelluniversity.edu,38.571277,-92.198331,NULL,NULL
Metro Business College-Cape Girardeau,Cape Girardeau,MO,63701,www.metrobusinesscollege.edu,37.327199,-89.565222,NULL,NULL
Midwest Institute,Fenton,MO,63026,midwestinstitute.com,38.541682,-90.462402,NULL,NULL
Midwestern Baptist Theological Seminary,Kansas City,MO,64118-4697,https://www.mbts.edu,39.185691,-94.573185,0.9655,983
Mineral Area College,Park Hills,MO,63601-1000,www.mineralarea.edu,37.845614,-90.482675,NULL,NULL
Missouri Baptist University,Saint Louis,MO,63141-8698,www.mobap.edu,38.642017,-90.462606,0.5744,961
National Academy of Beauty Arts-Farmington,Farmington,MO,63640,www.naba.edu,37.787881,-90.434241,NULL,NULL
Missouri College,Brentwood,MO,63144,www.missouricollege.edu/,38.626527,-90.336949,NULL,NULL
Missouri School of Barbering,Florissant,MO,63031-4701,americancollegeofhair.com,38.798449,-90.324023,NULL,NULL
Missouri Southern State University,Joplin,MO,64801-1595,www.mssu.edu,37.095722,-94.460893,0.9413,1030
Missouri Valley College,Marshall,MO,65340,www.moval.edu,39.108655,-93.190236,0.4557,NULL
Missouri Western State University,Saint Joseph,MO,64507,https://www.missouriwestern.edu,39.7575,-94.785643,NULL,NULL
University of Missouri-Columbia,Columbia,MO,65211-1050,missouri.edu/,38.941015,-92.326429,0.7813,1203
University of Missouri-Kansas City,Kansas City,MO,64110,www.umkc.edu/,39.035366,-94.578039,0.6271,1130
Missouri University of Science and Technology,Rolla,MO,65409,www.mst.edu/,37.955853,-91.7759,0.8808,1261
University of Missouri-St Louis,Saint Louis,MO,63121-4400,www.umsl.edu/,38.711297,-90.308886,0.7588,1105
Moberly Area Community College,Moberly,MO,65270-1304,www.macc.edu,39.418607,-92.455064,NULL,NULL
Hillyard Technical Center,Saint Joseph,MO,64506-5102,www.hillyardtech.com,39.768022,-94.808721,0.65,NULL
National Academy of Beauty Arts-St Louis,Saint Louis,MO,63128-0000,www.nabacollege.com,38.523473,-90.362748,NULL,NULL
Nazarene Theological Seminary,Kansas City,MO,64131-1246,www.nts.edu,39.01078,-94.566459,NULL,NULL
Neosho Beauty College,Neosho,MO,64850-1525,neoshobeautycollege.com,36.869945,-94.3682,NULL,NULL
Truman State University,Kirksville,MO,63501-4221,www.truman.edu,40.188238,-92.580531,0.7897,1246
Northwest Missouri State University,Maryville,MO,64468-6001,www.nwmissouri.edu,40.352706,-94.884341,0.7495,1047
Ozark Christian College,Joplin,MO,64801,www.occ.edu,37.105242,-94.510906,NULL,NULL
College of the Ozarks,Point Lookout,MO,65726-0017,www.cofo.edu,36.616019,-93.238174,0.1236,1069
Park University,Parkville,MO,64152-3795,www.park.edu,39.189477,-94.677086,0.4038,NULL
Stevens-The Institute of Business & Arts,Saint Louis,MO,63103,www.siba.edu,38.63292,-90.201111,1,NULL
Poplar Bluff Technical Career Center,Poplar Bluff,MO,63901-8960,www.poplarbluffschools.net,36.7555,-90.3945,NULL,NULL
Ranken Technical College,Saint Louis,MO,63113-2811,www.ranken.edu,38.652886,-90.249045,NULL,NULL
Research College of Nursing,Kansas City,MO,64132-1199,researchcollege.edu,39.008747,-94.558087,NULL,NULL
Rockhurst University,Kansas City,MO,64110-2561,www.rockhurst.edu,39.030843,-94.571249,0.7358,1162
Rolla Technical Institute/Center,Rolla,MO,65401,rolla.k12.mo.us,37.94702,-91.749081,0.8103,NULL
Everest College-Springfield,Springfield,MO,65807,www.everest.edu/campus/springfield,37.18165,-93.304743,NULL,NULL
Saint Louis University,Saint Louis,MO,63103-2097,www.slu.edu,38.636516,-90.23343,0.6333,1257
Salem College of Hairstyling,Rolla,MO,65401,www.centralandsalemcolleges.com,37.94439,-91.78492,NULL,NULL
American College of Hair Design Inc,Sedalia,MO,65301,www.americancollegeofhairdesign.com,38.699237,-93.253073,NULL,NULL
Sikeston Career and Technology Center,Sikeston,MO,63801-3347,www.sikestonr6.org,36.875089,-89.569276,NULL,NULL
Saint Louis Christian College,Florissant,MO,63033,www.stlchristian.edu,38.775771,-90.294569,0.3611,990
St Louis College of Pharmacy,Saint Louis,MO,63110-1088,www.stlcop.edu,38.637165,-90.260357,NULL,1198
Saint Louis Community College,Saint Louis,MO,63102-2810,www.stlcc.edu/,38.62273,-90.190701,NULL,NULL
Saint Paul School of Theology,Leawood,KS,66224,www.spst.edu,38.8803,-94.641251,NULL,NULL
Southwest Baptist University,Bolivar,MO,65613-2596,www.sbuniv.edu,37.601603,-93.410451,0.9047,1058
Missouri State University-West Plains,West Plains,MO,65775-2715,www.wp.missouristate.edu,36.729574,-91.857838,NULL,NULL
Saint Luke's College of Health Sciences,Kansas City,MO,64111,www.saintlukescollege.edu/,39.05216,-94.594501,NULL,NULL
St Louis College of Health Careers-St Louis,Saint Louis,MO,63110,www.slchc.edu,38.631599,-90.260564,NULL,NULL
State Fair Community College,Sedalia,MO,65301-2199,www.sfccmo.edu,38.699145,-93.269608,NULL,NULL
Stephens College,Columbia,MO,65215,https://www.stephens.edu,38.950631,-92.322997,0.6779,1036
Southeast Missouri State University,Cape Girardeau,MO,63701,www.semo.edu,37.31575,-89.529119,0.8429,1050
Missouri State University-Springfield,Springfield,MO,65897,www.missouristate.edu,37.197983,-93.276821,0.8585,1090
Three Rivers Community College,Poplar Bluff,MO,63901,www.trcc.edu,36.775114,-90.430212,NULL,NULL
North Central Missouri College,Trenton,MO,64683,www.ncmissouri.edu,40.077753,-93.618207,NULL,NULL
Kansas City University of Medicine and Biosciences,Kansas City,MO,64106-1453,www.kcumb.edu,39.107553,-94.561374,NULL,NULL
Washington University in St Louis,Saint Louis,MO,63130-4899,www.wustl.edu,38.648125,-90.311639,0.1674,1469
Webster University,Saint Louis,MO,63119-3194,www.webster.edu,38.589269,-90.345654,0.5612,1109
Wentworth Military Academy and College,Lexington,MO,64067-1799,www.wma.edu,39.187108,-93.872974,NULL,NULL
Westminster College,Fulton,MO,65251-1299,WWW.WESTMINSTER-MO.EDU,38.847764,-91.954345,0.6367,1084
William Jewell College,Liberty,MO,64068-1896,www.jewell.edu,39.247848,-94.41207,0.4938,1160
William Woods University,Fulton,MO,65251-1098,www.williamwoods.edu,38.857864,-91.949273,0.7312,1035
Academy of Cosmetology,Bozeman,MT,59715-3544,www.academycosmetology.com,45.680504,-111.039768,NULL,NULL
Blackfeet Community College,Browning,MT,59417-0819,bfcc.edu,48.551632,-113.009373,NULL,NULL
Butte Academy of Beauty Culture,Butte,MT,59701,butteacademyofbeauty.ipage.com/,46.0121,-112.540163,NULL,NULL
Highlands College of Montana Tech,Butte,MT,59701,www.mtech.edu/,45.937702,-112.509233,NULL,1145
Crevier's Academy of Cosmetology Arts,Kalispell,MT,59901,www.crevierschool.com,48.201459,-114.318951,NULL,NULL
Carroll College,Helena,MT,59625-0002,www.carroll.edu,46.602202,-112.04053,0.641,1110
Dawson Community College,Glendive,MT,59330,www.dawson.edu,47.085225,-104.725241,NULL,NULL
Chief Dull Knife College,Lame Deer,MT,59043,cdkc.edu,45.625559,-106.66459,NULL,NULL
Montana State University-Billings,Billings,MT,59101-0298,www.msubillings.edu,45.796896,-108.523009,NULL,NULL
Flathead Valley Community College,Kalispell,MT,59901,www.fvcc.edu,48.227389,-114.327258,NULL,NULL
Aaniiih Nakoda College,Harlem,MT,59526,www.ancollege.edu,48.53309,-108.78364,NULL,NULL
